Country,nDx,nKx,nMx,x
England,2,7223750,2.76864509430697e-07,0
England,9,6721577,1.33897149433831e-06,10
England,57,7740232,7.36412035194811e-06,20
England,170,7876931,2.15820095415334e-05,30
England,552,7565352,7.2964218981483e-05,40
England,1834,7922695,0.000231486886722258,50
England,3847,6240802,0.000616427183557498,60
England,8658,4885277,0.00177226388595775,70
England,22166,2939193,0.00754152585420556,80
France,3,7755755,3.86809536918069e-07,0
France,3,8328988,3.6018781633495e-07,10
France,20,7470908,2.67705076812618e-06,20
France,81,8288257,9.77286297951427e-06,30
France,223,8584449,2.59772059919047e-05,40
France,824,8785106,9.37951118631921e-05,50
France,2134,7999606,0.000266763138084551,60
France,4039,5693660,0.000709385527059923,70
France,10554,4156974,0.00253886601167099,80
Germany,0,0,,0
Germany,2,7705657,2.59549575071924e-07,10
Germany,8,9800607,8.16275971478093e-07,20
Germany,20,10646445,1.87856134136794e-06,30
Germany,62,10426257,5.94652520075038e-06,40
Germany,279,13474166,2.07062908383346e-05,50
Germany,761,10302411,7.38662047165465e-05,60
Germany,1844,7685929,0.000239918947989241,70
Germany,5234,5389106,0.000971218602862887,80
Italy,4,5090482,7.85780207060942e-07,0
Italy,0,5768874,0,10
Italy,13,6201270,2.09634478098841e-06,20
Italy,61,7074218,8.62286121236298e-06,30
Italy,269,9242654,2.91041945311379e-05,40
Italy,1105,9352231,0.000118153625589445,50
Italy,3233,7337210,0.000440630702951122,60
Italy,8487,5962533,0.00142338834854247,70
Italy,18076,4330074,0.00417452450004319,80
Korea,0,4148654,0,0
Korea,0,4940455,0,10
Korea,0,6806410,0,20
Korea,1,7045120,1.41942223837209e-07,30
Korea,3,8389281,3.57599179238364e-07,40
Korea,14,8666971,1.61532789252439e-06,50
Korea,33,6344284,5.20153259217273e-06,60
Korea,68,3607104,1.88516882241266e-05,70
Korea,106,1899230,5.58120922689722e-05,80
Spain,2,4370858,4.57576064013061e-07,0
Spain,5,4883447,1.02386695299447e-06,10
Spain,24,4847938,4.95055836110115e-06,20
Spain,63,6167588,1.02146900863028e-05,30
Spain,217,7813176,2.77735968062156e-05,40
Spain,657,6974009,9.42069332001149e-05,50
Spain,1822,5281877,0.000344953129351554,60
Spain,4887,3900550,0.00125290023201856,70
Spain,12875,2860952,0.00450025026634491,80
USA,8.5,40185703.9,2.11518007029361e-07,0
USA,41,41866732.05,9.79297833684156e-07,10
USA,265.5,45386145.12,5.84980282634764e-06,20
USA,812,43135857.51,1.88242461578921e-05,30
USA,2230.5,40522982,5.50428396409721e-05,40
USA,5749,43316698.51,0.000132720179463188,50
USA,11211,36732674.06,0.000305205114707622,60
USA,16268,21523246.96,0.000755833914382591,70
USA,31204.5,12439698.28,0.00250846116180882,80
Wuhan,0,862676,0,0
Wuhan,1,588047,1.70054434424459e-06,10
Wuhan,7,1241695,5.63745525269893e-06,20
Wuhan,18,1479178,1.21689208465783e-05,30
Wuhan,38,1313647,2.89271014207013e-05,40
Wuhan,130,1262768,0.000102948443419535,50
Wuhan,309,1069800,0.000288839035333707,60
Wuhan,312,481999,0.000647304247519186,70
Wuhan,208,235191,0.000884387582858188,80
