sex,cohort,x,qx,lx,dx,Lx,Tx,ex
m,1850,0,0.145957,1e+05,14596,90026,4654763,46.55
m,1850,1,0.03814,85404,3257,83776,4564737,53.45
m,1850,2,0.019577,82147,1608,81343,4480961,54.55
m,1850,3,0.013529,80539,1090,79994,4399618,54.63
m,1850,4,0.010797,79449,858,79020,4319624,54.37
m,1850,5,0.00794,78591,624,78279,4240604,53.96
m,1850,6,0.005699,77967,444,77745,4162325,53.39
m,1850,7,0.004073,77523,316,77365,4084580,52.69
m,1850,8,0.003047,77207,235,77090,4007214,51.9
m,1850,9,0.002555,76972,197,76874,3930125,51.06
m,1850,10,0.002483,76775,191,76680,3853251,50.19
m,1850,11,0.00267,76585,204,76482,3776571,49.31
m,1850,12,0.002935,76380,224,76268,3700088,48.44
m,1850,13,0.003153,76156,240,76036,3623820,47.58
m,1850,14,0.003355,75916,255,75789,3547784,46.73
m,1850,15,0.003673,75661,278,75522,3471996,45.89
m,1850,16,0.004149,75383,313,75227,3396474,45.06
m,1850,17,0.004676,75071,351,74895,3321247,44.24
m,1850,18,0.005233,74720,391,74524,3246352,43.45
m,1850,19,0.005797,74329,431,74113,3171827,42.67
m,1850,20,0.006421,73898,475,73660,3097714,41.92
m,1850,21,0.007024,73423,516,73165,3024054,41.19
m,1850,22,0.007445,72907,543,72636,2950889,40.47
m,1850,23,0.007616,72365,551,72089,2878253,39.77
m,1850,24,0.007606,71813,546,71540,2806164,39.08
m,1850,25,0.007526,71267,536,70999,2734623,38.37
m,1850,26,0.007496,70731,530,70466,2663624,37.66
m,1850,27,0.007554,70201,530,69936,2593158,36.94
m,1850,28,0.007754,69670,540,69400,2523223,36.22
m,1850,29,0.008057,69130,557,68852,2453822,35.5
m,1850,30,0.008382,68573,575,68286,2384971,34.78
m,1850,31,0.00867,67998,590,67704,2316685,34.07
m,1850,32,0.008939,67409,603,67108,2248981,33.36
m,1850,33,0.009172,66806,613,66500,2181874,32.66
m,1850,34,0.00938,66194,621,65883,2115374,31.96
m,1850,35,0.009603,65573,630,65258,2049490,31.26
m,1850,36,0.009845,64943,639,64623,1984233,30.55
m,1850,37,0.010077,64304,648,63980,1919609,29.85
m,1850,38,0.010294,63656,655,63328,1855630,29.15
m,1850,39,0.01051,63000,662,62669,1792302,28.45
m,1850,40,0.010743,62338,670,62003,1729632,27.75
m,1850,41,0.011015,61668,679,61329,1667629,27.04
m,1850,42,0.011337,60989,691,60643,1606300,26.34
m,1850,43,0.011722,60298,707,59944,1545657,25.63
m,1850,44,0.012169,59591,725,59228,1485712,24.93
m,1850,45,0.012677,58866,746,58493,1426484,24.23
m,1850,46,0.013235,58120,769,57735,1367991,23.54
m,1850,47,0.013832,57350,793,56954,1310256,22.85
m,1850,48,0.014463,56557,818,56148,1253303,22.16
m,1850,49,0.015146,55739,844,55317,1197155,21.48
m,1850,50,0.01589,54895,872,54459,1141838,20.8
m,1850,51,0.017012,54023,919,53563,1087379,20.13
m,1850,52,0.01709,53104,908,52650,1033816,19.47
m,1850,53,0.018218,52196,951,51721,981166,18.8
m,1850,54,0.020608,51245,1056,50717,929445,18.14
m,1850,55,0.021051,50189,1057,49661,878728,17.51
m,1850,56,0.023065,49133,1133,48566,829067,16.87
m,1850,57,0.025996,47999,1248,47375,780501,16.26
m,1850,58,0.025956,46751,1213,46145,733126,15.68
m,1850,59,0.026677,45538,1215,44931,686981,15.09
m,1850,60,0.029678,44323,1315,43665,642051,14.49
m,1850,61,0.030799,43008,1325,42345,598385,13.91
m,1850,62,0.032667,41683,1362,41002,556040,13.34
m,1850,63,0.034333,40321,1384,39629,515037,12.77
