Germany, Exposure to risk (period 1x1), 	Last modified: 17 Dec 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1990           0            436771.95       460141.69       896913.64
  1990           1            437002.31       459873.01       896875.32
  1990           2            436837.61       461370.11       898207.72
  1990           3            428124.38       451162.84       879287.22
  1990           4            414498.32       435555.83       850054.15
  1990           5            408932.87       430426.77       839359.64
  1990           6            406975.35       428433.68       835409.03
  1990           7            417830.71       439941.87       857772.58
  1990           8            421278.35       442646.03       863924.38
  1990           9            424277.31       444558.93       868836.24
  1990          10            412561.07       433025.88       845586.95
  1990          11            395997.40       416879.28       812876.68
  1990          12            395595.43       417306.64       812902.07
  1990          13            388902.01       409894.38       798796.39
  1990          14            380603.47       401403.77       782007.23
  1990          15            381017.61       402572.00       783589.61
  1990          16            390292.09       411427.91       801720.01
  1990          17            413081.89       434526.80       847608.69
  1990          18            476503.55       500733.91       977237.46
  1990          19            519058.87       542969.57      1062028.44
  1990          20            555202.45       578522.39      1133724.83
  1990          21            604627.15       630943.90      1235571.04
  1990          22            635465.33       665483.45      1300948.78
  1990          23            656386.64       690920.56      1347307.20
  1990          24            669675.65       710298.26      1379973.91
  1990          25            679077.44       724584.33      1403661.77
  1990          26            687235.35       734210.19      1421445.54
  1990          27            677293.68       722591.58      1399885.26
  1990          28            662774.04       702432.28      1365206.32
  1990          29            650143.80       686557.24      1336701.04
  1990          30            632051.53       668887.09      1300938.62
  1990          31            610581.83       647722.12      1258303.96
  1990          32            587662.93       623828.74      1211491.66
  1990          33            578354.87       612298.61      1190653.48
  1990          34            566620.86       597175.74      1163796.60
  1990          35            559061.06       583757.53      1142818.59
  1990          36            552858.99       570868.66      1123727.65
  1990          37            551035.64       565888.59      1116924.22
  1990          38            549734.69       564786.11      1114520.80
  1990          39            547358.86       563510.23      1110869.09
  1990          40            545020.68       564635.96      1109656.64
  1990          41            518833.49       542016.79      1060850.28
  1990          42            476298.91       498572.93       974871.83
  1990          43            462019.41       483198.65       945218.06
  1990          44            381682.68       396863.65       778546.33
  1990          45            439416.17       454630.50       894046.67
  1990          46            507729.33       528511.00      1036240.34
  1990          47            505400.83       528336.50      1033737.34
  1990          48            553767.17       577481.00      1131248.17
  1990          49            627792.33       651651.33      1279443.67
  1990          50            643725.67       665716.83      1309442.50
  1990          51            620607.67       639502.83      1260110.50
  1990          52            583917.83       599620.50      1183538.33
  1990          53            563225.00       574605.50      1137830.50
  1990          54            553925.00       561003.50      1114928.50
  1990          55            531938.33       536992.17      1068930.50
  1990          56            468733.00       470571.33       939304.33
  1990          57            424082.00       420648.67       844730.67
  1990          58            433010.50       423870.00       856880.50
  1990          59            455559.83       439456.67       895016.50
  1990          60            466853.83       443093.50       909947.33
  1990          61            464918.33       433382.50       898300.83
  1990          62            459089.67       406117.00       865206.67
  1990          63            458826.33       367043.83       825870.17
  1990          64            472549.00       343172.83       815721.83
  1990          65            471359.33       311202.50       782561.83
  1990          66            461706.17       283830.17       745536.33
  1990          67            469919.00       285098.00       755017.00
  1990          68            491993.83       292997.50       784991.33
  1990          69            501226.00       287337.33       788563.33
  1990          70            434123.17       243383.50       677506.67
  1990          71            303414.33       168499.50       471913.83
  1990          72            232113.00       127066.17       359179.17
  1990          73            235817.33       126395.83       362213.17
  1990          74            282775.50       146091.17       428866.67
  1990          75            359878.83       179824.17       539703.00
  1990          76            395013.33       194008.33       589021.67
  1990          77            384398.00       186245.17       570643.16
  1990          78            359134.67       169311.84       528446.50
  1990          79            334714.83       151354.00       486068.83
  1990          80            320510.73       138495.88       459006.61
  1990          81            296084.93       124040.59       420125.52
  1990          82            265074.57       108554.45       373629.02
  1990          83            234397.58        93385.53       327783.10
  1990          84            201014.85        78951.55       279966.39
  1990          85            170459.83        66392.60       236852.43
  1990          86            143821.06        53222.08       197043.13
  1990          87            120208.07        42165.81       162373.88
  1990          88             99069.75        32982.29       132052.04
  1990          89             77270.11        24386.32       101656.42
  1990          90             59133.45        17541.38        76674.83
  1990          91             45251.66        12495.38        57747.04
  1990          92             33563.17         8535.37        42098.54
  1990          93             24285.91         5791.72        30077.62
  1990          94             17044.54         3850.14        20894.68
  1990          95             11486.37         2484.67        13971.04
  1990          96              7550.35         1661.67         9212.02
  1990          97              4757.33         1076.50         5833.83
  1990          98              3043.50          705.00         3748.50
  1990          99              1935.33          484.67         2420.00
  1990         100              1016.33          230.67         1247.00
  1990         101               514.67          117.00          631.67
  1990         102               269.83           62.83          332.67
  1990         103               155.83           32.50          188.33
  1990         104                87.67           18.17          105.83
  1990         105                45.33            8.17           53.50
  1990         106                19.00            5.17           24.17
  1990         107                 9.50            2.67           12.17
  1990         108                 7.33            0.83            8.17
  1990         109                 9.83            2.17           12.00
  1990         110+                0.50            0.17            0.67
  1991           0            427430.79       450735.91       878166.70
  1991           1            440321.02       463331.21       903652.22
  1991           2            441779.06       464864.89       906643.96
  1991           3            441774.64       466564.40       908339.03
