Republic of Korea, Exposure to risk (period 1x1), 	Last modified: 15 Nov 2019;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  2003           0            221882.66       242252.89       464135.56
  2003           1            249682.47       272834.83       522517.30
  2003           2            288338.11       315308.46       603646.58
  2003           3            300603.85       329529.20       630133.05
  2003           4            299390.87       328504.27       627895.14
  2003           5            315435.26       343899.34       659334.59
  2003           6            324565.89       355985.99       680551.88
  2003           7            331142.32       371470.63       702612.96
  2003           8            331206.74       377096.40       708303.14
  2003           9            332584.10       382033.85       714617.95
  2003          10            339052.97       386457.18       725510.16
  2003          11            337738.36       379431.78       717170.14
  2003          12            310987.73       352373.19       663360.92
  2003          13            301498.06       341092.61       642590.66
  2003          14            297699.27       331695.25       629394.52
  2003          15            292522.67       321917.24       614439.91
  2003          16            296703.27       323706.48       620409.75
  2003          17            306215.73       335254.19       641469.92
  2003          18            310503.20       335082.15       645585.35
  2003          19            340872.40       364102.88       704975.28
  2003          20            379422.64       402049.21       781471.85
  2003          21            406233.79       430106.12       836339.91
  2003          22            415744.45       439809.32       855553.77
  2003          23            406641.01       424799.39       831440.40
  2003          24            376103.60       397578.73       773682.33
  2003          25            365743.55       384361.64       750105.18
  2003          26            378344.92       392931.24       771276.17
  2003          27            380829.92       396315.14       777145.06
  2003          28            405260.65       420872.21       826132.86
  2003          29            432231.77       446612.57       878844.35
  2003          30            440253.92       457287.62       897541.54
  2003          31            449053.52       474138.85       923192.37
  2003          32            456416.12       478864.80       935280.92
  2003          33            454369.45       471722.95       926092.40
  2003          34            459213.34       471539.70       930753.04
  2003          35            448054.89       452430.28       900485.17
  2003          36            412293.86       433505.58       845799.44
  2003          37            406432.08       435090.35       841522.43
  2003          38            416891.60       434561.26       851452.85
  2003          39            398815.90       423900.76       822716.66
  2003          40            409302.34       438548.45       847850.79
  2003          41            445114.61       467417.63       912532.24
  2003          42            462109.97       474018.77       936128.74
  2003          43            447631.14       458380.91       906012.05
  2003          44            409214.09       424814.03       834028.12
  2003          45            387755.99       407125.40       794881.40
  2003          46            369446.13       385486.84       754932.97
  2003          47            362111.13       368696.88       730808.00
  2003          48            341539.01       348302.40       689841.41
  2003          49            292653.54       300623.20       593276.74
  2003          50            288773.58       292275.53       581049.11
  2003          51            262780.91       266570.37       529351.27
  2003          52            230232.51       233639.37       463871.88
  2003          53            240223.38       242919.14       483142.52
  2003          54            242126.52       244005.54       486132.06
  2003          55            245445.53       243627.75       489073.29
  2003          56            223695.88       220160.65       443856.53
  2003          57            189819.34       185716.40       375535.74
  2003          58            190463.14       179527.67       369990.80
  2003          59            202301.20       185247.84       387549.04
  2003          60            230131.66       210467.55       440599.21
  2003          61            235353.96       213577.55       448931.51
  2003          62            205685.18       181885.77       387570.95
  2003          63            201369.38       174350.70       375720.08
  2003          64            198884.63       169211.76       368096.39
  2003          65            186800.63       155529.97       342330.60
  2003          66            179929.10       145862.32       325791.41
  2003          67            176735.64       137941.83       314677.47
  2003          68            169539.47       127180.00       296719.47
  2003          69            154462.52       110763.56       265226.08
  2003          70            143824.36        98228.87       242053.22
  2003          71            133125.10        85719.29       218844.39
  2003          72            124176.54        74074.93       198251.48
  2003          73            120385.91        69656.76       190042.68
  2003          74            112856.56        64314.54       177171.10
  2003          75            104323.19        56756.06       161079.26
  2003          76             91458.28        48723.28       140181.55
  2003          77             81380.14        42193.76       123573.90
  2003          78             73313.39        38827.48       112140.87
  2003          79             70664.51        36781.18       107445.69
  2003          80             68835.77        33289.92       102125.69
  2003          81             60570.66        28241.12        88811.78
  2003          82             49521.87        22795.38        72317.26
  2003          83             41304.84        18690.93        59995.78
  2003          84             35305.01        15246.97        50551.98
  2003          85             31269.14        12381.46        43650.60
  2003          86             27557.65         9934.92        37492.56
  2003          87             22769.66         7599.75        30369.42
  2003          88             18157.90         5681.70        23839.60
  2003          89             14972.20         4377.08        19349.28
  2003          90             12315.86         3435.84        15751.70
  2003          91              9556.09         2621.03        12177.13
  2003          92              7077.94         1941.17         9019.11
  2003          93              5207.06         1424.08         6631.14
  2003          94              3923.38          974.89         4898.27
  2003          95              2853.25          611.21         3464.46
  2003          96              1946.11          381.61         2327.72
  2003          97              1305.66          236.39         1542.04
  2003          98               871.14          144.86         1016.00
  2003          99               608.66           95.34          704.01
  2003         100               426.34           60.89          487.23
  2003         101               268.24           35.12          303.35
  2003         102               164.58           19.39          183.97
  2003         103                98.35           10.26          108.61
  2003         104                57.23            5.23           62.46
  2003         105                32.30            2.23           34.52
  2003         106                17.59            0.72           18.30
  2003         107                 9.27            0.19            9.46
  2003         108                 4.62            0.00            4.62
  2003         109                 2.17            0.00            2.17
  2003         110+                0.98            0.00            0.98
  2004           0            222140.94       240686.06       462827.00
  2004           1            232206.80       253030.57       485237.37
  2004           2            250089.60       273206.27       523295.87
  2004           3            288467.39       315383.07       603850.46
  2004           4            300825.84       329741.89       630567.74
  2004           5            299424.84       328421.88       627846.72
  2004           6            315686.31       344062.70       659749.01
  2004           7            324576.47       355963.72       680540.19
  2004           8            330846.32       371106.94       701953.25
  2004           9            330859.06       376722.39       707581.45
  2004          10            332292.39       381619.56       713911.95
  2004          11            338748.82       386055.15       724803.97
  2004          12            337508.66       379113.41       716622.07
  2004          13            310549.20       351902.72       662451.93
  2004          14            301212.03       340648.20       641860.23
  2004          15            297382.61       331398.16       628780.78
  2004          16            292147.07       321347.69       613494.77
  2004          17            296316.08       323052.79       619368.87
  2004          18            305702.32       334720.44       640422.76
  2004          19            310342.47       334506.55       644849.02
  2004          20            340665.12       363535.84       704200.96
  2004          21            378744.27       401398.16       780142.43
  2004          22            405917.12       429508.09       835425.21
  2004          23            415043.53       439126.24       854169.77
  2004          24            406055.31       423974.54       830029.85
  2004          25            375759.70       396616.99       772376.69
  2004          26            365482.07       383490.20       748972.26
  2004          27            377823.46       391781.55       769605.01
  2004          28            380266.35       395042.57       775308.93
  2004          29            404488.91       419574.03       824062.94
  2004          30            431186.29       445284.45       876470.74
  2004          31            439251.30       455748.39       894999.69
  2004          32            447875.41       472165.92       920041.32
  2004          33            455067.39       476973.24       932040.62
  2004          34            452970.90       469645.55       922616.45
  2004          35            457886.36       469491.73       927378.09
  2004          36            446650.96       450526.16       897177.12
  2004          37            411039.07       431653.72       842692.79
  2004          38            405114.77       432990.57       838105.33
  2004          39            415598.53       432252.57       847851.10
  2004          40            397484.73       421701.04       819185.77
  2004          41            407997.30       436233.73       844231.03
  2004          42            443673.11       464694.07       908367.18
  2004          43            460489.90       471153.39       931643.29
  2004          44            445958.53       455545.11       901503.64
  2004          45            407782.53       422167.53       829950.06
  2004          46            386419.59       404579.70       790999.29
  2004          47            368123.00       382986.56       751109.56
  2004          48            360875.96       366179.73       727055.68
  2004          49            340407.76       345902.53       686310.29
  2004          50            291660.90       298399.95       590060.85
  2004          51            287758.56       290094.91       577853.47
  2004          52            261927.50       264598.84       526526.34
  2004          53            229486.69       231622.60       461109.29
  2004          54            239386.80       240801.20       480187.99
  2004          55            241271.54       241751.39       483022.92
  2004          56            244605.06       241359.96       485965.02
  2004          57            222841.98       217930.70       440772.67
  2004          58            188998.59       183740.77       372739.35
  2004          59            189616.38       177562.78       367179.16
  2004          60            201330.13       182971.10       384301.23
  2004          61            229001.52       207587.55       436589.07
  2004          62            234038.18       210357.29       444395.47
  2004          63            204461.60       178878.30       383339.90
  2004          64            199976.72       171197.80       371174.52
  2004          65            197419.37       165881.10       363300.47
  2004          66            185236.37       152294.54       337530.91
