Spain, Death rates (period 5x1), 	Last modified: 08 May 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1908           0             0.159834        0.189250        0.174845
  1908         1-4             0.043062        0.044472        0.043772
  1908         5-9             0.007243        0.006892        0.007067
  1908        10-14            0.003934        0.003423        0.003681
  1908        15-19            0.005832        0.005703        0.005771
  1908        20-24            0.007565        0.007488        0.007528
  1908        25-29            0.007745        0.007416        0.007589
  1908        30-34            0.009312        0.008013        0.008691
  1908        35-39            0.008112        0.008344        0.008224
  1908        40-44            0.010738        0.011808        0.011260
  1908        45-49            0.009806        0.013070        0.011380
  1908        50-54            0.015985        0.019767        0.017807
  1908        55-59            0.016352        0.022364        0.019167
  1908        60-64            0.039318        0.042098        0.040670
  1908        65-69            0.044290        0.053481        0.048624
  1908        70-74            0.103238        0.099336        0.101338
  1908        75-79            0.110263        0.131701        0.119969
  1908        80-84            0.161174        0.185470        0.171178
  1908        85-89            0.182911        0.234768        0.202308
  1908        90-94            0.244982        0.269833        0.252862
  1908        95-99            0.324726        0.343376        0.329815
  1908       100-104           0.414412        0.446517        0.420885
  1908       105-109           0.742621        1.819315        0.830208
  1908       110+              6.000000              .        6.000000
  1909           0             0.164502        0.195791        0.180479
  1909         1-4             0.041479        0.042829        0.042160
  1909         5-9             0.006770        0.006836        0.006803
  1909        10-14            0.003640        0.003408        0.003525
  1909        15-19            0.005580        0.005805        0.005686
  1909        20-24            0.007401        0.007905        0.007644
  1909        25-29            0.007709        0.007371        0.007549
  1909        30-34            0.009698        0.008702        0.009219
  1909        35-39            0.008478        0.008795        0.008630
  1909        40-44            0.011370        0.012365        0.011857
  1909        45-49            0.009905        0.014010        0.011873
  1909        50-54            0.017370        0.021218        0.019234
  1909        55-59            0.017188        0.023705        0.020215
  1909        60-64            0.042240        0.045827        0.043983
  1909        65-69            0.047195        0.055244        0.050995
  1909        70-74            0.115081        0.110505        0.112844
  1909        75-79            0.119665        0.142439        0.130016
  1909        80-84            0.171210        0.191383        0.179507
  1909        85-89            0.198182        0.253459        0.218678
  1909        90-94            0.253703        0.288356        0.264839
  1909        95-99            0.355497        0.378324        0.361945
  1909       100-104           0.465747        0.608406        0.494311
  1909       105-109           0.217438        0.506448        0.235345
  1909       110+                    .              .              .
  1910           0             0.182875        0.217088        0.200307
  1910         1-4             0.040740        0.041819        0.041285
  1910         5-9             0.006490        0.006578        0.006535
  1910        10-14            0.003459        0.003214        0.003336
  1910        15-19            0.005513        0.005575        0.005543
  1910        20-24            0.007354        0.007457        0.007403
  1910        25-29            0.007519        0.007105        0.007323
  1910        30-34            0.008987        0.008162        0.008591
  1910        35-39            0.008766        0.008826        0.008794
  1910        40-44            0.010491        0.011764        0.011110
  1910        45-49            0.010026        0.013676        0.011784
  1910        50-54            0.015600        0.019451        0.017455
  1910        55-59            0.018015        0.023907        0.020780
  1910        60-64            0.037093        0.042738        0.039776
  1910        65-69            0.047082        0.056930        0.051764
  1910        70-74            0.103386        0.105327        0.104317
  1910        75-79            0.131357        0.147369        0.138779
  1910        80-84            0.166591        0.191346        0.176723
  1910        85-89            0.200266        0.251425        0.219100
  1910        90-94            0.260148        0.286115        0.268579
